Character ,Nikud,Nikud Name,Frequency
ו,ֹ,חולם,477
ז,,,478
ז,ִ,חיריק,479
ז,ְ,שוא,480
ז,ֵ,צירי,481
ז,ֱ,חטף סגול,482
ז,ֶ,סגול,483
ז,ֻ,קובוץ,484
זּ,,שורוק,485
ז,ַ,פתח,486
ז,ֲ,חטף פתח,487
ז,ָ,קמץ,488
ז,ֳ,חטף קמץ,489
ז,ֹ,חולם,490
ח,,,491
ח,ִ,חיריק,492
ח,ְ,שוא,493
ח,ֵ,צירי,494
ח,ֱ,חטף סגול,495
ח,ֶ,סגול,496
ח,ֻ,קובוץ,497
ח,ּ,שורוק,498
ח,ַ,פתח,499
ח,ֲ,חטף פתח,500
ח,ָ,קמץ,501
ח,ֳ,חטף קמץ,502
ח,ֹ,חולם,503
ט,,,504
ט,ִ,חיריק,505
ט,ְ,שוא,506
ט,ֵ,צירי,507
ט,ֱ,חטף סגול,508
ט,ֶ,סגול,509
ט,ֻ,קובוץ,510
טּ,,שורוק,511
ט,ַ,פתח,512
ט,ֲ,חטף פתח,513
ט,ָ,קמץ,514
ט,ֳ,חטף קמץ,515
ט,ֹ,חולם,516
י,,,517
י,ִ,חיריק,518
י,ְ,שוא,519
י,ֵ,צירי,520
י,ֱ,חטף סגול,521
י,ֶ,סגול,522
י,ֻ,קובוץ,523
יּ,,שורוק,524
י,ַ,פתח,525
י,ֲ,חטף פתח,526
י,ָ,קמץ,527
י,ֳ,חטף קמץ,528
י,ֹ,חולם,529
כ,,,530
כ,ִ,חיריק,531
כ,ְ,שוא,532
כ,ֵ,צירי,533
כ,ֱ,חטף סגול,534
כ,ֶ,סגול,535
כ,ֻ,קובוץ,536
כּ,,שורוק,537
כ,ַ,פתח,538
כ,ֲ,חטף פתח,539
כ,ָ,קמץ,540
כ,ֳ,חטף קמץ,541
כ,ֹ,חולם,542
ל,,,543
ל,ִ,חיריק,544
ל,ְ,שוא,545
ל,ֵ,צירי,546
ל,ֱ,חטף סגול,547
ל,ֶ,סגול,548
ל,ֻ,קובוץ,549
לּ,,שורוק,550
ל,ַ,פתח,551
ל,ֲ,חטף פתח,552
ל,ָ,קמץ,553
ל,ֳ,חטף קמץ,554
ל,ֹ,חולם,555
מ,,,556
מ,ִ,חיריק,557
מ,ְ,שוא,558
מ,ֵ,צירי,559
מ,ֱ,חטף סגול,560
מ,ֶ,סגול,561
מ,ֻ,קובוץ,562
מּ,,שורוק,563
מ,ַ,פתח,564
מ,ֲ,חטף פתח,565
מ,ָ,קמץ,566
מ,ֳ,חטף קמץ,567
מ,ֹ,חולם,568
נ,,,569
נ,ִ,חיריק,570
נ,ְ,שוא,571
נ,ֵ,צירי,572
נ,ֱ,חטף סגול,573
נ,ֶ,סגול,574
נ,ֻ,קובוץ,575
נּ,,שורוק,576
נ,ַ,פתח,577
נ,ֲ,חטף פתח,578
נ,ָ,קמץ,579
נ,ֳ,חטף קמץ,580
נ,ֹ,חולם,581
ס,,,582
ס,ִ,חיריק,583
ס,ְ,שוא,584
ס,ֵ,צירי,585
ס,ֱ,חטף סגול,586
ס,ֶ,סגול,587
ס,ֻ,קובוץ,588
סּ,ּ,שורוק,589
ס,ַ,פתח,590
ס,ֲ,חטף פתח,591
ס,ָ,קמץ,592
ס,ֳ,חטף קמץ,593
ס,ֹ,חולם,594
ע,,,595
ע,ִ,חיריק,596
ע,ְ,שוא,597
ע,ֵ,צירי,598
ע,ֱ,חטף סגול,599
ע,ֶ,סגול,600
ע,ֻ,קובוץ,601
ע,ּ,שורוק,602
ע,ַ,פתח,603
ע,ֲ,חטף פתח,604
ע,ָ,קמץ,605
ע,ֳ,חטף קמץ,606
ע,ֹ,חולם,607
פ,,,608
פ,ִ,חיריק,609
פ,ְ,שוא,610
פ,ֵ,צירי,611
פ,ֱ,חטף סגול,612
פ,ֶ,סגול,613
פ,ֻ,קובוץ,614
פּ,,שורוק,615
פ,ַ,פתח,616
פ,ֲ,חטף פתח,617
פ,ָ,קמץ,618
פ,ֳ,חטף קמץ,619
פ,ֹ,חולם,620
צ,,,621
צ,ִ,חיריק,622
צ,ְ,שוא,623
צ,ֵ,צירי,624
צ,ֱ,חטף סגול,625
צ,ֶ,סגול,626
צ,ֻ,קובוץ,627
צּ,,שורוק,628
צ,ַ,פתח,629
צ,ֲ,חטף פתח,630
צ,ָ,קמץ,631
צ,ֳ,חטף קמץ,632
צ,ֹ,חולם,633
ק,,,634
ק,ִ,חיריק,635
ק,ְ,שוא,636
ק,ֵ,צירי,637
ק,ֱ,חטף סגול,638
ק,ֶ,סגול,639
ק,ֻ,קובוץ,640
קּ,,שורוק,641
ק,ַ,פתח,642
ק,ֲ,חטף פתח,643
ק,ָ,קמץ,644
ק,ֳ,חטף קמץ,645
ק,ֹ,חולם,646
ר,,,647
ר,ִ,חיריק,648
ר,ְ,שוא,649
ר,ֵ,צירי,650
ר,ֱ,חטף סגול,651
ר,ֶ,סגול,652
ר,ֻ,קובוץ,653
רּ,ּ,שורוק,654
ר,ַ,פתח,655
ר,ֲ,חטף פתח,656
ר,ָ,קמץ,657
ר,ֳ,חטף קמץ,658
ר,ֹ,חולם,659
ש,,,660
ש,ִ,חיריק,661
ש,ְ,שוא,662
ש,ֵ,צירי,663
ש,ֱ,חטף סגול,664
ש,ֶ,סגול,665
ש,ֻ,קובוץ,666
ש,,שורוק,667
ש,ַ,פתח,668
ש,ֲ,חטף פתח,669
ש,ָ,קמץ,670
ש,ֳ,חטף קמץ,671
ש,ֹ,חולם,672
ת,,,673
ת,ִ,חיריק,674
ת,ְ,שוא,675
ת,ֵ,צירי,676
ת,ֱ,חטף סגול,677
ת,ֶ,סגול,678
ת,ֻ,קובוץ,679
תּ,,שורוק,680
ת,ַ,פתח,681
ת,ֲ,חטף פתח,682
ת,ָ,קמץ,683
ת,ֳ,חטף קמץ,684
ת,ֹ,חולם,685
